fk_modelo,fk_zona,fk_empresa,timestamp,evento
1,1,1,2025-11-17 19:28:18.584465,Processo fora da whitelist morto: searchindexer
1,1,1,2025-11-17 19:28:18.587443,Processo fora da whitelist morto: aswtoolssvc
1,1,1,2025-11-17 19:28:18.590518,Processo fora da whitelist morto: spoolsv
1,1,1,2025-11-17 19:28:18.593528,Processo fora da whitelist morto: armourysocketserver
1,1,1,2025-11-17 19:28:18.596491,Processo fora da whitelist morto: mdnsresponder
1,1,1,2025-11-17 19:28:18.599579,Processo fora da whitelist morto: iedservice
1,1,1,2025-11-17 19:28:18.602621,Processo fora da whitelist morto: armourycrate.service
1,1,1,2025-11-17 19:28:18.606324,Processo fora da whitelist morto: armsvc
1,1,1,2025-11-17 19:28:18.609605,Processo fora da whitelist morto: rogliveservice
1,1,1,2025-11-17 19:28:18.612654,Processo fora da whitelist morto: sursvc
1,1,1,2025-11-17 19:28:18.615646,Processo fora da whitelist morto: msmpeng
1,1,1,2025-11-17 19:28:18.618737,Processo fora da whitelist morto: officeclicktorun
1,1,1,2025-11-17 19:28:18.621875,Processo fora da whitelist morto: asusfancontrolservice
1,1,1,2025-11-17 19:28:18.624871,Processo fora da whitelist morto: audiodg
1,1,1,2025-11-17 19:28:18.627735,Processo fora da whitelist morto: mpdefendercoreservice
1,1,1,2025-11-17 19:28:18.630728,Processo fora da whitelist morto: securityhealthservice
1,1,1,2025-11-17 19:28:18.633854,Processo fora da whitelist morto: spacedeskservice
1,1,1,2025-11-17 19:28:18.636725,Processo fora da whitelist morto: dsaupdateservice
1,1,1,2025-11-17 19:28:18.639806,Processo fora da whitelist morto: dsaservice
1,1,1,2025-11-17 19:28:18.642795,Processo fora da whitelist morto: jhi_service
1,1,1,2025-11-17 19:28:18.645613,Processo fora da whitelist morto: rstmwservice
1,1,1,2025-11-17 19:28:18.648676,Processo fora da whitelist morto: rvcontrolsvc
1,1,1,2025-11-17 19:28:18.651718,Processo fora da whitelist morto: wmiregistrationservice
1,1,1,2025-11-17 19:28:18.654732,Processo fora da whitelist morto: microsoft.notes
1,1,1,2025-11-17 19:28:18.657851,Processo fora da whitelist morto: lockapp
1,1,1,2025-11-17 19:28:18.660855,Processo fora da whitelist morto: dashost
1,1,1,2025-11-17 19:28:18.664272,Processo fora da whitelist morto: acpowernotification
1,1,1,2025-11-17 19:28:18.667292,Processo fora da whitelist morto: searchapp
1,1,1,2025-11-17 19:28:18.670306,Processo fora da whitelist morto: atiesrxx
1,1,1,2025-11-17 19:28:18.673409,Processo fora da whitelist morto: aswengsrv
1,1,1,2025-11-17 19:28:18.676272,Processo fora da whitelist morto: unsecapp
1,1,1,2025-11-17 19:28:18.679360,Processo fora da whitelist morto: aggregatorhost
1,1,1,2025-11-17 19:28:18.682425,Processo fora da whitelist morto: steam
1,1,1,2025-11-17 19:28:18.685381,Processo fora da whitelist morto: mousocoreworker
1,1,1,2025-11-17 19:28:18.688361,Processo fora da whitelist morto: taskhostw
1,1,1,2025-11-17 19:28:18.691364,Processo fora da whitelist morto: taskhostw
1,1,1,2025-11-17 19:28:18.694384,Processo fora da whitelist morto: taskhostw
1,1,1,2025-11-17 19:28:18.697410,Processo fora da whitelist morto: phoneexperiencehost
1,1,1,2025-11-17 19:28:18.700462,Processo fora da whitelist morto: aswidsagent
1,1,1,2025-11-17 19:28:18.703430,Processo fora da whitelist morto: whatsapp
1,1,1,2025-11-17 19:28:18.706210,Processo fora da whitelist morto: jetbrains-toolbox
1,1,1,2025-11-17 19:28:18.709240,Processo fora da whitelist morto: esrv
1,1,1,2025-11-17 19:28:18.712267,Processo fora da whitelist morto: armourycrate.usersessionhelper
1,1,1,2025-11-17 19:28:18.715250,Processo fora da whitelist morto: onedrive.sync.service
1,1,1,2025-11-17 19:28:18.718863,Processo fora da whitelist morto: gamingservices
1,1,1,2025-11-17 19:28:18.721926,Processo fora da whitelist morto: winlogon
1,1,1,2025-11-17 19:28:18.725051,Processo fora da whitelist morto: musnotifyicon
1,1,1,2025-11-17 19:28:18.727791,Processo fora da whitelist morto: ctfmon
1,1,1,2025-11-17 19:28:18.730661,Processo fora da whitelist morto: securityhealthsystray
1,1,1,2025-11-17 19:28:18.733615,Processo fora da whitelist morto: dwm
